id_ue,intitule,nb_groupes,capac1,capac2,capac3,capac4,capac5,cours1,cours2,td1,tme1,td2,tme2,td3,tme3,td4,tme4,td5,tme5
1,aagb,1,32,,,,,2,,14,24,,,,,,,,
2,algav,2,32,32,,,,7,,3,4,16,17,,,,,,
3,archi,2,32,32,,,,18,,6,7,8,9,,,,,,
4,archi_en,3,32,32,32,,,17,,0,0,0,0,13,14,,,,
5,ares,4,32,32,32,32,,1,,0,0,0,0,11,12,18,19,,
6,bima,3,32,32,32,,,8,,18,19,0,0,18,19,,,,
7,bima_en,2,32,32,,,,3,,0,0,6,7,,,,,,
8,comnet_en,1,32,,,,,22,,23,24,,,,,,,,
9,complex,3,32,32,32,,,17,,1,2,11,12,18,19,,,,
10,dlp,2,32,32,,,,6,,18,19,18,19,,,,,,
11,esa,1,32,,,,,2,24,3,4,,,,,,,,
12,lrc,4,32,32,32,32,,13,,3,4,3,4,16,17,16,17,,
13,mapsi,5,32,32,32,32,32,9,,1,2,3,4,6,7,6,8,6,7
14,maths4m062,1,32,,,,,4,,12,,,,,,,,,
15,mlbda,3,32,32,32,,,14,,1,2,11,12,16,17,,,,
16,mobj,1,32,,,,,1,,13,14,,,,,,,,
17,model,1,32,,,,,21,,13,14,,,,,,,,
18,model_en,2,32,32,,,,21,,0,0,1,2,,,,,,
19,mogpl,4,32,32,32,32,,21,,3,4,18,19,22,23,22,23,,
20,noyau,3,32,32,32,,,4,,8,9,8,9,13,14,,,,
21,ouv_ang,2,32,32,,,,8,23,9,24,9,24,,,,,,
22,ppar_en,2,32,32,,,,11,,23,24,6,7,,,,,,
23,progres,1,32,,,,,23,,24,,,,,,,,,
24,pscr,3,32,32,32,,,3,,11,12,13,14,22,23,,,,
25,qclg_qk4cs_en,1,32,,,,,4,18,16,,,,,,,,,
26,qph4cs_en,1,32,,,,,8,,9,19,,,,,,,,
27,rtel,3,32,32,32,,,2,,0,0,8,9,11,12,,,,
28,sc,2,32,32,,,,2,,8,9,0,0,,,,,,
29,sigcom_en,1,32,,,,,2,,11,12,,,,,,,,
30,signal,2,32,32,,,,22,,6,7,16,17,,,,,,
31,vlsi,1,32,,,,,19,,11,12,,,,,,,,
