Nom de l'UE;Groupe 1;Groupe 2;Groupe 3;Groupe 4;Groupe 5;
aagb;32 sur 32;
algav;32 sur 32;32 sur 32;
archi;32 sur 32;22 sur 32;
archi_en;0 sur 0;0 sur 0;8 sur 8;
ares;0 sur 0;0 sur 0;32 sur 32;31 sur 31;
bima;31 sur 31;0 sur 0;32 sur 32;
bima_en;0 sur 0;10 sur 10;
comnet_en;0 sur 0;
complex;32 sur 32;32 sur 32;31 sur 31;
dlp;32 sur 32;32 sur 32;
esa;14 sur 32;
lrc;32 sur 32;28 sur 32;32 sur 32;28 sur 32;
mapsi;31 sur 31;17 sur 31;47 sur 47;0 sur 0;32 sur 32;
maths4m062;14 sur 32;
mlbda;32 sur 32;32 sur 32;32 sur 32;
mobj;31 sur 32;
model;32 sur 32;
model_en;0 sur 0;11 sur 11;
mogpl;28 sur 32;32 sur 32;32 sur 32;32 sur 32;
noyau;31 sur 32;32 sur 32;32 sur 32;
ouv_ang;22 sur 22;21 sur 21;
ppar_en;25 sur 25;19 sur 32;
progres;53 sur 64;
pscr;32 sur 32;32 sur 32;32 sur 32;
qclg_qk4cs_en;26 sur 26;
qph4cs_en;21 sur 28;
rtel;0 sur 0;32 sur 32;31 sur 31;
sc;10 sur 17;1 sur 17;
sigcom_en;2 sur 15;
signal;32 sur 32;32 sur 32;
vlsi;32 sur 32;
